delivery_status,order_count,reviewed_order_count,average_delivery_days,average_delivery_delay_days,average_review_score,low_review_order_count,low_review_rate_pct,written_comment_order_count,written_comment_rate_pct
Late,6509,6356,33.91,10.62,2.27,3967,62.41,3744,58.90
On Time or Early,88587,88101,10.99,-13.48,4.29,8127,9.22,34655,39.34
